wavelength,response
200.0,0.0
210.0,0.0
220.0,0.0
230.0,0.0
240.0,0.0
250.0,0.0
260.0,0.0
270.0,0.0
280.0,0.0
290.0,0.0
300.0,0.0
310.0,0.0
320.0,12.6
330.0,16.6
340.0,21.2
350.0,27.3
360.0,33.5
370.0,41.2
380.0,50.1
390.0,55.4
400.0,59.5
410.0,63.0
420.0,66.979
430.0,69.0
440.0,71.0
450.0,74.0
460.0,74.5
470.0,75.1
480.0,76.0
490.0,76.1
500.0,76.9
510.0,77.2
520.0,76.0
530.0,75.5
540.0,73.4
550.0,71.5
560.0,69.3
570.0,67.5
580.0,65.2
590.0,63.8
600.0,61.0
610.0,59.2
620.0,57.2
630.0,55.1
640.0,53.0
650.0,50.8
660.0,47.1
670.0,45.5
680.0,43.8
690.0,41.4
700.0,39.0
710.0,37.8
720.0,35.2
730.0,33.3
740.0,30.9
750.0,29.2
760.0,28.1
770.0,27.1
780.0,24.6
790.0,22.7
800.0,20.3
810.0,17.8
820.0,17.4
830.0,16.2
840.0,15.3
850.0,14.8
860.0,12.9
870.0,11.2
880.0,10.1
890.0,9.7
900.0,8.9
910.0,8.1
920.0,7.6
930.0,7.5
940.0,6.5
950.0,5.9
960.0,4.3
970.0,5.0
980.0,4.8
990.0,3.1
1000.0,2.6
1010.0,2.6
1020.0,2.4
1030.0,1.3
1040.0,0.8
1050.0,0.8
1060.0,0.7
1070.0,0.5
1080.0,0.3
1090.0,0.2
1100.0,0.2
